model_name,accuracy_mean,accuracy_std,accuracy_scaled_mean,accuracy_scaled_std
logistic,0.8255813953488372,0.03503841668213806,0.86953488372093,0.03174141737649227
logistic_iso,0.7697674418604652,0.043817310887015744,0.8532558139534884,0.03712854608733314
logistic_lle,0.7765116279069768,0.0449920370335741,0.8551162790697674,0.03274117983028843
logistic_llemodified,0.838139534883721,0.03487131562367732,0.8623255813953488,0.035677784020028094
logistic_svd,0.8230232558139534,0.02944318304094305,0.8525581395348837,0.035149376055644804
logistic_lda,0.8562790697674417,0.03600973367599239,0.8562790697674417,0.03600973367599239
logistic_pca,0.8383720930232558,0.03758890668661538,0.86953488372093,0.03174141737649227
logistic_kpca,0.5,0.0,0.7525581395348836,0.04055056468628298
logistic_sel,0.8262790697674418,0.03267503930553369,0.8697674418604651,0.03188676558326066
logistic_kbest,0.7790697674418604,0.04394056657602602,0.7962790697674417,0.037226740100025565
logistic_kbestmutual,0.7827906976744186,0.048360911051025864,0.7990697674418605,0.04224884431392922
logistic_select,0.8325581395348837,0.03297080669478564,0.8667441860465115,0.03265848324483078
logistic_selecttree,0.8293023255813953,0.030092699757435924,0.8611627906976742,0.034526073576721744
logistic_rfe,0.841627906976744,0.03639293401603249,0.86953488372093,0.033482719161127446
kNeighbour,0.7788372093023256,0.04265968315392017,0.8769767441860465,0.025696359010845833
kNeighbour_iso,0.7753488372093023,0.03831496804952366,0.8574418604651163,0.029399065116867386
kNeighbour_lle,0.7472093023255814,0.04171875237373977,0.8404651162790696,0.04338565159978233
kNeighbour_llemodified,0.8355813953488372,0.031374670192557,0.8444186046511628,0.03487519275598978
kNeighbour_svd,0.7811627906976745,0.042672359116389835,0.8781395348837208,0.02684410052187548
kNeighbour_lda,0.8453488372093024,0.03290923650717419,0.8453488372093024,0.03290923650717419
kNeighbour_pca,0.7788372093023256,0.04265968315392017,0.8769767441860465,0.025696359010845833
kNeighbour_kpca,0.5,0.0,0.8688372093023254,0.03111763476033065
kNeighbour_sel,0.7788372093023256,0.04265968315392017,0.8769767441860465,0.025696359010845833
kNeighbour_kbest,0.76,0.041650636902137585,0.7790697674418604,0.04074747783240752
