model_name,accuracy_mean,accuracy_std,accuracy_scaled_mean,accuracy_scaled_std
logistic,0.6355813953488372,0.04397809081356617,0.6734883720930231,0.039249310604260054
logistic_iso,0.5595348837209303,0.04848377090432735,0.6513953488372093,0.038035166330276086
logistic_lle,0.5,0.0,0.502093023255814,0.00554737694971004
logistic_llemodified,0.5,0.004028025133881117,0.5011627906976744,0.006261819543179667
logistic_svd,0.5962790697674418,0.0422488443139292,0.636279069767442,0.04551490166595374
logistic_lda,0.6304651162790699,0.047220757001909905,0.6304651162790699,0.047220757001909905
logistic_pca,0.631860465116279,0.04643074362411581,0.6730232558139535,0.038819798353237824
logistic_kpca,0.5,0.0,0.5,0.0
logistic_sel,0.6327906976744186,0.04062052488144549,0.6748837209302324,0.03925757738792408
logistic_kbest,0.5827906976744186,0.046838387089415366,0.5872093023255814,0.04096259291583381
logistic_kbestmutual,0.5855813953488372,0.05775500746226189,0.6011627906976745,0.05314602270709973
logistic_select,0.6404651162790698,0.052200885010597955,0.6662790697674419,0.04109441173737741
logistic_selecttree,0.6209302325581395,0.04250155088952806,0.6509302325581396,0.04577852484450417
logistic_rfe,0.6165116279069767,0.046014200549878675,0.6583720930232559,0.04236708928155738
kNeighbour,0.5774418604651163,0.03422715452801928,0.6434883720930233,0.0383269643010832
kNeighbour_iso,0.5565116279069767,0.041144392156758886,0.6337209302325582,0.03641967386829261
kNeighbour_lle,0.5418604651162792,0.037786225137841675,0.6283720930232558,0.038139534883720926
kNeighbour_llemodified,0.5876744186046511,0.03850997075414531,0.6313953488372093,0.03851277944576557
kNeighbour_svd,0.5506976744186047,0.0348651113151817,0.63,0.043301426313945665
kNeighbour_lda,0.6134883720930233,0.048757409887412506,0.6134883720930233,0.048757409887412506
kNeighbour_pca,0.5774418604651163,0.03422715452801928,0.6434883720930233,0.0383269643010832
kNeighbour_kpca,0.4451162790697674,0.12115453259363718,0.6358139534883721,0.03810264807276315
kNeighbour_sel,0.5774418604651163,0.03422715452801928,0.6434883720930233,0.0383269643010832
kNeighbour_kbest,0.5318604651162792,0.039178282303062965,0.5572093023255815,0.03416626543666411
kNeighbour_kbestmutual,0.5274418604651163,0.03854857232556924,0.5711627906976745,0.05012909241044644
kNeighbour_select,0.617906976744186,0.04645403410920228,0.65,0.042644467025330805
