model_name,accuracy_mean,accuracy_std,accuracy_scaled_mean,accuracy_scaled_std
logistic,0.582093023255814,0.050653383682918295,0.6044186046511628,0.038389002616683494
logistic_iso,0.538372093023256,0.04558673438119224,0.5704651162790698,0.048135040796854774
logistic_lle,0.49930232558139537,0.0036102731851767565,0.5004651162790698,0.002278595109565751
logistic_llemodified,0.502093023255814,0.0055473769497100395,0.5055813953488372,0.007441860465116284
logistic_svd,0.5844186046511628,0.04620889853640834,0.5967441860465117,0.03859624453158092
logistic_lda,0.5953488372093023,0.04461238626337413,0.5953488372093023,0.04461238626337413
logistic_pca,0.6006976744186047,0.04607997374706301,0.6044186046511628,0.038389002616683494
logistic_kpca,0.5,0.0,0.5,0.0
logistic_sel,0.5886046511627907,0.04621357993332903,0.6044186046511628,0.038389002616683494
logistic_kbest,0.535813953488372,0.05747715703054287,0.6034883720930232,0.044078817258197366
logistic_kbestmutual,0.5427906976744186,0.046187240903547325,0.6081395348837209,0.04611751631407429
logistic_select,0.5813953488372092,0.03821320168640694,0.6174418604651163,0.04083034852576614
logistic_selecttree,0.5965116279069768,0.042771102692440756,0.6230232558139535,0.042634319922596434
logistic_rfe,0.5937209302325581,0.04396579131371339,0.6153488372093023,0.036832393389682555
kNeighbour,0.5795348837209302,0.04271479618202366,0.5890697674418606,0.029655494439643184
kNeighbour_iso,0.5488372093023256,0.03898384794009351,0.5548837209302326,0.04179840360681112
kNeighbour_lle,0.5311627906976745,0.03949656145393791,0.563953488372093,0.03737246204648419
kNeighbour_llemodified,0.6174418604651163,0.040830348525766134,0.5916279069767443,0.04065712265395387
kNeighbour_svd,0.5786046511627907,0.04221811042699519,0.5886046511627907,0.029129241486395452
kNeighbour_lda,0.5597674418604651,0.03713728495755161,0.5597674418604651,0.03713728495755161
kNeighbour_pca,0.5795348837209302,0.04271479618202366,0.5890697674418606,0.029655494439643184
kNeighbour_kpca,0.4520930232558139,0.09669050388975839,0.5751162790697675,0.034899996203321966
kNeighbour_sel,0.5797674418604651,0.04307099802350697,0.5890697674418606,0.029655494439643184
kNeighbour_kbest,0.5465116279069768,0.04375555284238787,0.5604651162790697,0.035574554745996176
kNeighbour_kbestmutual,0.5434883720930233,0.04178352101544113,0.5693023255813953,0.03662033882683666
kNeighbour_select,0.5930232558139535,0.03987541441740058,0.596046511627907,0.03834107273279903
kNeighbour_selecttree,0.5644186046511628,0.04352069436820797,0.5837209302325581,0.04449099179002091
kNeighbour_rfe,0.5774418604651163,0.059044583534655935,0.5816279069767443,0.037606168441007295
svcLinear,0.6100000000000001,0.039685758623639815,0.6074418604651163,0.03629397427888261
svcLinear_iso,0.5530232558139535,0.038925536656572425,0.5834883720930232,0.04196949624986962
svcLinear_lle,0.5,0.0,0.5,0.0
svcLinear_llemodified,0.5,0.0,0.5,0.0
svcLinear_svd,0.6076744186046512,0.03979463234729063,0.6039534883720931,0.034447662152877805
svcLinear_lda,0.6025581395348837,0.042354321956869716,0.6025581395348837,0.042354321956869716
svcLinear_pca,0.6095348837209302,0.04001689745853117,0.6069767441860465,0.036770670467074176
svcLinear_kpca,0.5,0.0,0.5,0.0
svcLinear_sel,0.6062790697674418,0.04068172444924641,0.6074418604651163,0.03629397427888261
svcLinear_kbest,0.5765116279069766,0.04295028381040418,0.5658139534883722,0.047239078706700764
svcLinear_kbestmutual,0.5834883720930233,0.043176346107206436,0.5783720930232559,0.045679178457044806
svcLinear_select,0.6069767441860465,0.029139451363120156,0.5988372093023255,0.033154831231123845
svcLinear_selecttree,0.6111627906976743,0.04121990519275259,0.598139534883721,0.03729350936818809
svcLinear_rfe,0.6058139534883721,0.038018099358771665,0.6027906976744187,0.033488372093023265
svc,0.5,0.0,0.5,0.0
svc_iso,0.5,0.0,0.4997674418604651,0.0016279069767441891
svc_lle,0.503953488372093,0.02151759816586123,0.5837209302325581,0.030410922861911677
svc_llemodified,0.6037209302325581,0.03344635607134288,0.5960465116279071,0.0302155587269761
svc_svd,0.5,0.0,0.5,0.0
svc_lda,0.588139534883721,0.044313768893820174,0.588139534883721,0.044313768893820174
svc_pca,0.5,0.0,0.5,0.0
svc_kpca,0.5,0.0,0.5,0.0
svc_sel,0.5,0.0,0.5,0.0
svc_kbest,0.5,0.0,0.5097674418604652,0.013631954316049164
svc_kbestmutual,0.5,0.0,0.5100000000000001,0.015602207551366985
svc_select,0.5,0.0,0.5004651162790698,0.002278595109565751
svc_selecttree,0.5,0.0,0.5272093023255815,0.02708179226246125
svc_rfe,0.5,0.0,0.5,0.0
gaussian,0.5825581395348837,0.0490719717349051,0.6076744186046512,0.03065977223195413
gaussian_iso,0.5627906976744187,0.04461238626337414,0.5897674418604651,0.04657205377194039
gaussian_lle,0.5379069767441861,0.03593832226232643,0.5893023255813953,0.04284627331321499
gaussian_llemodified,0.6269767441860465,0.03578978344783374,0.6139534883720931,0.043445445795975354
gaussian_svd,0.5795348837209303,0.049462224251513164,0.6102325581395349,0.03078563859232169
gaussian_lda,0.5983720930232558,0.04456447495864439,0.5983720930232558,0.04456447495864439
gaussian_pca,0.58,0.04996699830303898,0.6076744186046512,0.03065977223195413
gaussian_kpca,0.5,0.0,0.5,0.0
gaussian_sel,0.582093023255814,0.047456108211674515,0.6076744186046512,0.03065977223195413
gaussian_kbest,0.5506976744186047,0.04404874629040679,0.5909302325581396,0.035091628495715926
gaussian_kbestmutual,0.5579069767441861,0.04297546056675628,0.6039534883720931,0.040240622931438604
gaussian_select,0.6046511627906976,0.03305272186872534,0.612093023255814,0.027883711232226726
gaussian_selecttree,0.6039534883720931,0.0409731540279796,0.6106976744186047,0.03649310743429401
gaussian_rfe,0.604186046511628,0.04074482318711772,0.6039534883720931,0.02861599321365781
